Feature	rnc_media_stats.tsv	learner_stats.tsv	t-value	p-value	signif	overuse	
clf	0	0	 nan 	 nan	FALSE	-	
csubj	0	0	 nan 	 nan	FALSE	-	
det	0	0	 nan 	 nan	FALSE	-	
dislocated	0	0	 nan 	 nan	FALSE	-	
expl	3.07641495808E-06	0	 nan 	 nan	FALSE	-	
goeswith	0	0	 nan 	 nan	FALSE	-	
list	0	0	 nan 	 nan	FALSE	-	
reparandum	0	0	 nan 	 nan	FALSE	-	
vocative	0	0	 nan 	 nan	FALSE	-	
	nsubj	0.0757617578	0.0983393644	33.5813476606	7.16904245031E-236	TRUE	+
advcl	0.0120450411	0.0235865121	30.7624632955	3.11985533315E-199	TRUE	+	5.5049810808
mark	0.0097433732	0.0203012493	29.9944583454	7.54972877192E-190	TRUE	+	
obj	0.0311416127	0.0444978075	22.6308274205	7.14291640233E-111	TRUE	+	
acl:relcl	0.0050221287	0.0098697889	20.3500783102	2.38880336626E-90	TRUE	+	
Average out-degree 	0.9163299945	0.9256439104	17.4016834384	5.19564450915E-67	TRUE	+	
xcomp	0.0078023795	0.0128611247	15.7850115731	1.62270401568E-55	TRUE	+	
Max out-degree 	3.6338138575	3.8046092184	13.1949272828	1.80683301976E-39	TRUE	+	
dep	0.0035741011	0.0060684146	11.3009102402	1.90581933057E-29	TRUE	+	
aux	0.0014488578	0.0033413786	11.1191258684	1.4570424408E-28	TRUE	+	
cop	0.0058246693	0.0083788413	9.1933389176	4.4856221639E-20	TRUE	+	
fixed	0.0082464862	0.0112090197	8.753029172	2.38292900574E-18	TRUE	+	
advmod	0.0743878575	0.0797057324	5.8816491766	4.17585345234E-09	TRUE	+	
Average path length 	2.517548658	2.5564993762	5.1283129851	2.97094816E-07	TRUE	+	
Diameter 	5.835245233	5.9608216433	5.0891130185	3.65398787176E-07	TRUE	+	
Number of communities 	3.9574920975	4.0362725451	4.9790905209	6.4794109403E-07	TRUE	+	
Non-projective sentences 	0.0515448149	0.0640280561	4.9669741214	6.90239120616E-07	TRUE	+	
Average community size 	4.3720785901	4.4412096362	4.9531186223	7.40670536672E-07	TRUE	+	
ccomp	0.0004193729	0.0007844704	4.317391679	1.59313755744E-05	TRUE	+	
aux:pass	0.0026772597	0.0033091299	3.9204171377	8.89293673091E-05	TRUE	+	
obl	0.0768696228	0.0787072208	2.7152310475	0.0066328412	TRUE	+	
Non-projective arcs 	0.0175434746	0.0204917256	2.6771815081	0.0074354055	TRUE	+	
acl	0.0014456813	0.0017386423	2.4284672376	0.0151782321	TRUE	+	
cc	0.044680235	0.0456313087	1.7096505301	0.0873576001	FALSE	+	
flat	2.90006683014E-06	1.54258621192E-05	1.2995489383	0.1937849349	FALSE	+	
discourse	0.0004507534	0.0005102218	0.9274520183	0.3537122118	FALSE	+	
nummod:gov	0.0045037069	0.0045925363	0.4340446054	0.664264152	FALSE	+	
iobj	0.0003937486	0.000402174	0.1042687959	0.9169579425	FALSE	+	
flat:foreign	0.0058078369	0.0053755255	-0.9199076009	0.3576405329	FALSE	-	
nummod:entity	3.85313139932E-05	1.27238604193E-05	-2.4749859357	0.0133336261	TRUE	-	
amod	0.1424762631	0.1382551765	-4.3273909377	1.52156055885E-05	TRUE	-	
obl:agent	0.0018217909	0.001385044	-4.4747372157	7.7203971741E-06	TRUE	-	
case	0.1060073909	0.1005816513	-7.4803236495	7.95309778426E-14	TRUE	-	
orphan	0.0011807618	0.0003533654	-8.7316317805	2.7790938755E-18	TRUE	-	
appos	0.0071489428	0.0049937429	-9.4912171119	2.6922627212E-21	TRUE	-	
compound	0.0010744423	0.0004364088	-9.6595861762	5.28081892016E-22	TRUE	-	
nsubj:pass	0.0078189941	0.0052713085	-11.1896077326	6.37153192246E-29	TRUE	-	
nmod	0.1423850116	0.1248717347	-16.7434658835	3.31436331966E-62	TRUE	-	
Density 	0.0836308468	0.0743445534	-17.3501883602	1.24815021046E-66	TRUE	-	
root	0.0981033108	0.0842163208	-18.2543252523	1.72421894479E-73	TRUE	-	
conj	0.0574743983	0.0447966606	-20.9439415243	9.96520515377E-96	TRUE	-	
flat:name	0.0073707699	0.0029809033	-21.2211916427	1.16167541851E-98	TRUE	-	
parataxis	0.0274875198	0.0187461714	-21.3214174824	4.33948795077E-99	TRUE	-	
nummod	0.0273594136	0.0138728989	-31.0223649807	7.31525733156E-205	TRUE	-	
