Feature	rnc_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0312510166503 	 0.041014243863 	 4.78088922578 	 1.76804022846e-06
Non-projective arcs 	 0.00840499773498 	 0.0114074223386 	 4.28745017458 	 1.82299992231e-05
Average out-degree 	 0.918781598721 	 0.926851339987 	 15.8697601801 	 3.83040358779e-56
Max out-degree 	 3.6346370314499996 	 3.7471461763800002 	 8.99396227539 	 2.75443608714e-19
Number of communities 	 4.0003123149699995 	 4.06667340135 	 4.13821497907 	 3.52478727279e-05
Average community size 	 4.4014732828600005 	 4.447459014700001 	 3.24834552234 	 0.00116411223321
Average path length 	 2.5420976010099996 	 2.58661389989 	 5.64708365107 	 1.67104434463e-08
Density 	 0.0812184012789 	 0.07314866001249999 	 -15.8697601809 	 3.83040354077e-56
Diameter 	 5.907652367409999 	 6.02626527932 	 4.66346514747 	 3.14450721826e-06
MHD 	 3.69244917014 	 3.7589276352199996 	 5.72971248723 	 1.03164636103e-08
MDD 	 1.1495710078599999 	 1.15156957768 	 0.348673898278 	 0.727340435872
acl	 0.0116397578269 	 0.013063847355400001 	 4.57021274925 	 4.9250661324e-06
acl:relcl	 0.00543564782259 	 0.0105463894536 	 19.6329810853 	 2.52619105194e-84
advcl	 0.009271790143280001 	 0.0170843767161 	 22.5820674714 	 2.39468991092e-110
advmod	 0.0565483829633 	 0.0603753280749 	 4.21536735687 	 2.51303672122e-05
amod	 0.121840784075 	 0.112742320112 	 -8.80803316266 	 1.45473514295e-18
appos	 0.00977293044347 	 0.006800841449479999 	 -8.62693580499 	 7.0748676387e-18
aux	 0.00164278350573 	 0.00364603078607 	 10.4346071704 	 2.28670546413e-25
aux:pass	 0.0029318571933 	 0.0036783326607299997 	 3.93225275029 	 8.46745122516e-05
case	 0.1160402425 	 0.10879948456800001 	 -8.77153824135 	 2.00991825258e-18
cc	 0.04422633895480001 	 0.040804014881 	 -5.69452309266 	 1.26718486465e-08
ccomp	 0.00425186332983 	 0.00865766834197 	 16.4133430223 	 8.43549922118e-60
compound	 0.0011663516783599998 	 0.000628736253197 	 -6.56465189153 	 5.41695174572e-11
conj	 0.0625509546126 	 0.048057276411699996 	 -21.6963256657 	 1.7998767391e-102
cop	 0.00480374572836 	 0.007229759883869999 	 8.57445802901 	 1.12862357535e-17
csubj	 0.00710343369825 	 0.00593058716576 	 -4.35746310012 	 1.32698185056e-05
csubj:pass	 0.00013148716399500002 	 6.42272000026e-05 	 -2.92421555101 	 0.00345889586476
det	 0.0230020738206 	 0.0298942018956 	 12.0543402903 	 2.98686439052e-33
discourse	 0.014978755093799999 	 0.012106225714499999 	 -7.0925093973 	 1.39032676823e-12
fixed	 0.009252127638620001 	 0.0124265165894 	 7.85972657211 	 4.21668147856e-15
flat	 0.0008558577405780001 	 0.0005912637054 	 -2.80196964758 	 0.00508663563698
flat:foreign	 0.00459525343241 	 0.0056336481066399996 	 2.09744512074 	 0.035977155952
flat:name	 0.00805664079145 	 0.0033288813551599996 	 -18.6365957732 	 9.63100894594e-77
iobj	 0.00860227758266 	 0.009526750758059999 	 2.76933327043 	 0.00562631062859
mark	 0.0167430129553 	 0.031751996015 	 30.7729988525 	 2.16199376969e-199
nmod	 0.14429187939500002 	 0.124946705848 	 -16.6941182634 	 7.50837400949e-62
nsubj	 0.0815054449968 	 0.10500572649 	 26.7014158793 	 2.00272717843e-152
nsubj:pass	 0.00840924550053 	 0.005678934879899999 	 -10.4571114727 	 1.74624409835e-25
nummod	 0.0341483517914 	 0.0149935919912 	 -36.0381224094 	 1.63119866709e-275
nummod:gov	 0.00523315273534 	 0.00508971081542 	 -0.596899523224 	 0.550585897129
obj	 0.0343369811325 	 0.0488016375083 	 19.9589958751 	 4.45213539551e-87
obl	 0.10572086242900001 	 0.10457107673800001 	 -1.36754914473 	 0.171479845372
orphan	 0.0008994158201260001 	 0.00020389612143400002 	 -9.1525566445 	 5.903511594e-20
parataxis	 0.0286661675209 	 0.018865457205199998 	 -21.1901566564 	 5.69087677753e-98
xcomp	 0.011344147982399999 	 0.018474556949700002 	 16.9864555315 	 6.85730470909e-64
