Feature	rnc_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0312510166503 	 0.045955500104 	 8.1742326557 	 3.19378203346e-16
Non-projective arcs 	 0.00840499773498 	 0.0116170952346 	 5.6468352159 	 1.66108372279e-08
Average out-degree 	 0.918781598721 	 0.931146219676 	 29.8817743678 	 7.66290185172e-192
Max out-degree 	 3.6346370314499996 	 3.8927011852800004 	 25.0831816971 	 1.54704124483e-136
Number of communities 	 4.0003123149699995 	 4.23220350731 	 16.721631496 	 2.69324925822e-62
Average community size 	 4.4014732828600005 	 4.5454015743900005 	 12.0999733611 	 1.42867474513e-33
Average path length 	 2.5420976010099996 	 2.6042640509 	 9.84025796301 	 8.62210867391e-23
Density 	 0.0812184012789 	 0.0688537803241 	 -29.8817743674 	 7.66290195764e-192
Diameter 	 5.907652367409999 	 6.132875857769999 	 10.8565536491 	 2.25722553967e-27
MHD 	 3.69244917014 	 3.78082766294 	 9.41686853981 	 5.20129231178e-21
MDD 	 1.1495710078599999 	 1.22759261922 	 15.8884861918 	 1.83481227477e-56
acl	 0.0116397578269 	 0.014234270540400001 	 10.2579390312 	 1.28449774775e-24
acl:relcl	 0.00543564782259 	 0.009282179478290001 	 19.630758864 	 8.06873862186e-85
advcl	 0.009271790143280001 	 0.014721212630000001 	 21.4019583185 	 2.83025374934e-100
advmod	 0.0565483829633 	 0.0620228109605 	 7.27329308221 	 3.65530831205e-13
amod	 0.121840784075 	 0.108313415195 	 -16.2698681636 	 4.17673537461e-59
appos	 0.00977293044347 	 0.00793701814089 	 -6.45307672133 	 1.12138496897e-10
aux	 0.00164278350573 	 0.0031838639227399997 	 9.58811470089 	 1.02693454637e-21
aux:pass	 0.0029318571933 	 0.00233340631036 	 -4.98589428017 	 6.22333129308e-07
case	 0.1160402425 	 0.114113345889 	 -2.84637927808 	 0.00442692018627
cc	 0.04422633895480001 	 0.042649862665599995 	 -3.1784449416 	 0.00148313504168
ccomp	 0.00425186332983 	 0.00939907498268 	 23.6613468511 	 1.13069036306e-121
compound	 0.0011663516783599998 	 0.000576881868109 	 -9.92410878466 	 3.62292328579e-23
conj	 0.0625509546126 	 0.049021035113500006 	 -24.2401284409 	 5.96170925851e-128
cop	 0.00480374572836 	 0.006618849385020001 	 7.8338141654 	 5.01159766466e-15
csubj	 0.00710343369825 	 0.00613411857788 	 -4.26508301231 	 2.00827251543e-05
csubj:pass	 0.00013148716399500002 	 4.75897170295e-05 	 -4.95205878204 	 7.38677040097e-07
det	 0.0230020738206 	 0.0292070462101 	 14.3815360802 	 1.25640113629e-46
discourse	 0.014978755093799999 	 0.0136511953336 	 -3.724325998 	 0.000196410981124
fixed	 0.009252127638620001 	 0.0109009735782 	 5.51534393937 	 3.53208591363e-08
flat	 0.0008558577405780001 	 0.000446998303924 	 -6.0987574383 	 1.08405082887e-09
flat:foreign	 0.00459525343241 	 0.010783512702799999 	 15.4201615878 	 2.78465548941e-53
flat:name	 0.00805664079145 	 0.00413305926352 	 -19.9970911035 	 1.68668756326e-88
iobj	 0.00860227758266 	 0.0107962490877 	 7.87611568038 	 3.5750484601e-15
mark	 0.0167430129553 	 0.0294953715421 	 34.0619664632 	 6.47125696404e-246
nmod	 0.14429187939500002 	 0.11582946050699999 	 -31.4360785732 	 1.586083766e-211
nsubj	 0.0815054449968 	 0.107677065132 	 35.7273735552 	 4.54111746695e-270
nsubj:pass	 0.00840924550053 	 0.004108673008969999 	 -20.4709579728 	 3.52775561613e-92
nummod	 0.0341483517914 	 0.0132569940928 	 -46.5263376344 	 0.0
nummod:gov	 0.00523315273534 	 0.00511501986859 	 -0.623123632939 	 0.533210636085
obj	 0.0343369811325 	 0.0447656683903 	 19.6526555662 	 4.62488610114e-85
obl	 0.10572086242900001 	 0.111434303868 	 8.06937307649 	 7.50713378195e-16
orphan	 0.0008994158201260001 	 0.00021663385093 	 -10.9751984047 	 5.24228403303e-28
parataxis	 0.0286661675209 	 0.020667132920099997 	 -19.6059952459 	 8.53138269413e-85
xcomp	 0.011344147982399999 	 0.0169257069624 	 16.7957394354 	 8.51042158106e-63
