Feature	syntagrus_stats.tsv	rnc_stats.tsv	t-value	p-value
Non-projective sentences 	 0.0639327981462 	 0.0312510166503 	 -27.2803520675 	 6.15975862622e-163
Non-projective arcs 	 0.020268165646099998 	 0.00840499773498 	 -25.6633942808 	 1.83006713763e-144
Average out-degree 	 0.909300951094 	 0.918781598721 	 29.0456986914 	 1.707834863e-184
Max out-degree 	 3.6389969378500004 	 3.6346370314499996 	 -0.637645377697 	 0.523706297069
Number of communities 	 3.6262310684400005 	 4.0003123149699995 	 45.4339414825 	 0.0
Average community size 	 4.25120970436 	 4.4014732828600005 	 20.3577288229 	 6.52542279995e-92
Average path length 	 2.32408993832 	 2.5420976010099996 	 64.2318058735 	 0.0
Density 	 0.09069904890569999 	 0.0812184012789 	 -29.0456986908 	 1.7078348931e-184
Diameter 	 5.18447405446 	 5.907652367409999 	 64.4809929386 	 0.0
MHD 	 3.37170361229 	 3.69244917014 	 63.2403159288 	 0.0
MDD 	 1.13731109684 	 1.1495710078599999 	 3.79954411847 	 0.000145066011871
acl	 0.0111285528923 	 0.0116397578269 	 3.37708924608 	 0.000732924805918
acl:relcl	 0.00647031978489 	 0.00543564782259 	 -9.76916465753 	 1.57557199659e-22
advcl	 0.0111689267317 	 0.009271790143280001 	 -12.4502789906 	 1.513003821e-35
advmod	 0.07372440139150001 	 0.0565483829633 	 -31.2075472805 	 2.33913508769e-212
amod	 0.10661568268100001 	 0.121840784075 	 25.168626244 	 3.23711956865e-139
appos	 0.0109943706516 	 0.00977293044347 	 -4.60892997588 	 4.05466490018e-06
aux	 0.0028066325906300005 	 0.00164278350573 	 -12.8059170264 	 1.68342972254e-37
aux:pass	 0.00296782177373 	 0.0029318571933 	 -0.394952943103 	 0.692878740964
case	 0.11428025584799999 	 0.1160402425 	 3.66317769196 	 0.000249273637169
cc	 0.0458432595663 	 0.04422633895480001 	 -4.24902215549 	 2.14972374862e-05
ccomp	 0.00667769467759 	 0.00425186332983 	 -20.0519191799 	 3.55540279564e-89
compound	 0.00121341327157 	 0.0011663516783599998 	 -0.715052468248 	 0.474578945543
conj	 0.052034146067000006 	 0.0625509546126 	 24.9410162956 	 8.25014031354e-137
cop	 0.00741281153625 	 0.00480374572836 	 -15.9571438333 	 3.23918362039e-57
csubj	 0.00857182343278 	 0.00710343369825 	 -8.10021926683 	 5.57263432118e-16
csubj:pass	 0.00016254424937600003 	 0.00013148716399500002 	 -1.37492122826 	 0.169160438848
det	 0.026966166644599998 	 0.0230020738206 	 -13.7307420427 	 7.5138807233e-43
discourse	 0.0198319951075 	 0.014978755093799999 	 -16.2287911065 	 4.0453955674e-59
fixed	 0.0100992566147 	 0.009252127638620001 	 -4.47753648891 	 7.56245455481e-06
flat	 0.00091278996904 	 0.0008558577405780001 	 -0.780498228403 	 0.435100061306
flat:foreign	 0.0023194179148099997 	 0.00459525343241 	 14.3513810696 	 1.13031490511e-46
flat:name	 0.005521671766020001 	 0.00805664079145 	 14.1555038824 	 1.85821601753e-45
iobj	 0.0105812993965 	 0.00860227758266 	 -9.99239237593 	 1.70605681272e-23
mark	 0.021684752640400002 	 0.0167430129553 	 -21.2660450851 	 4.79173404035e-100
nmod	 0.10784658292000002 	 0.14429187939500002 	 57.7514458361 	 0.0
nsubj	 0.11024031127900001 	 0.0815054449968 	 -51.3646413022 	 0.0
nsubj:pass	 0.00698433180942 	 0.00840924550053 	 8.1437511143 	 3.88959749805e-16
nummod	 0.0125213950486 	 0.0341483517914 	 61.4166798539 	 0.0
nummod:gov	 0.00598322049524 	 0.00523315273534 	 -4.80400295737 	 1.55826957622e-06
obj	 0.0428991409606 	 0.0343369811325 	 -23.217644316 	 8.37542856433e-119
obl	 0.109593938663 	 0.10572086242900001 	 -7.96207515801 	 1.71438489352e-15
orphan	 0.00232549375986 	 0.0008994158201260001 	 -9.42486216005 	 4.45204714001e-21
parataxis	 0.0280034709503 	 0.0286661675209 	 1.94811829713 	 0.0514044051432
xcomp	 0.013591416688000001 	 0.011344147982399999 	 -10.8450153953 	 2.21032631209e-27
