Feature	Average	Deviation	Observations
Non-projective sentences 	 0.0639327981462 	 0.24463318554 	 48332
Non-projective arcs 	 0.0202681656461 	 0.0963097812284 	 48332
Average out-degree 	 0.909300951094 	 0.0633509644642 	 48332
Max out-degree 	 3.63899693785 	 1.29941209412 	 48332
Number of communities 	 3.62623106844 	 1.51636541454 	 48332
Average community size 	 4.25120970436 	 1.38930352094 	 48332
Average path length 	 2.32408993832 	 0.595319528567 	 48332
Density 	 0.0906990489057 	 0.0633509644642 	 48332
Diameter 	 5.18447405446 	 1.97466589966 	 48332
MHD 	 3.37170361229 	 0.903972545446 	 48332
MDD 	 1.13731109684 	 0.614636904837 	 48332
acl	 0.0111285528923 	 0.0292069005278 	 48332
acl:relcl	 0.00647031978489 	 0.0208104382592 	 48332
advcl	 0.0111689267317 	 0.0299819409198 	 48332
advmod	 0.0737244013915 	 0.109562651282 	 48332
amod	 0.106615682681 	 0.117625711207 	 48332
appos	 0.0109943706516 	 0.0530589467006 	 48332
aux	 0.00280663259063 	 0.0184253158149 	 48332
aux:pass	 0.00296782177373 	 0.017848830631 	 48332
case	 0.114280255848 	 0.0936360789722 	 48332
cc	 0.0458432595663 	 0.0751924494424 	 48332
ccomp	 0.00667769467759 	 0.0244560818147 	 48332
compound	 0.00121341327157 	 0.0130489803009 	 48332
conj	 0.052034146067 	 0.0795463456121 	 48332
cop	 0.00741281153625 	 0.0330242076621 	 48332
csubj	 0.00857182343278 	 0.0360968740895 	 48332
csubj:pass	 0.000162544249376 	 0.00455753245922 	 48332
det	 0.0269661666446 	 0.0570072586198 	 48332
discourse	 0.0198319951075 	 0.0596705644893 	 48332
fixed	 0.0100992566147 	 0.0374435372996 	 48332
flat	 0.00091278996904 	 0.0141755438323 	 48332
flat:foreign	 0.00231941791481 	 0.0255944535194 	 48332
flat:name	 0.00552167176602 	 0.0286340019643 	 48332
iobj	 0.0105812993965 	 0.0394887037521 	 48332
mark	 0.0216847526404 	 0.0461478792797 	 48332
nmod	 0.10784658292 	 0.118549185046 	 48332
nsubj	 0.110240311279 	 0.111816722389 	 48332
nsubj:pass	 0.00698433180942 	 0.0341479242793 	 48332
nummod	 0.0125213950486 	 0.0440839870243 	 48332
nummod:gov	 0.00598322049524 	 0.0306660802824 	 48332
obj	 0.0428991409606 	 0.0733198038836 	 48332
obl	 0.109593938663 	 0.0942732124879 	 48332
orphan	 0.00232549375986 	 0.0313845198748 	 48332
parataxis	 0.0280034709503 	 0.0659989086669 	 48332
xcomp	 0.013591416688 	 0.0409610388035 	 48332
