Feature	rnc_media_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.051544814928099994 	 0.0640280561122 	 4.96697412139 	 6.90239120616e-07
Non-projective arcs 	 0.017543474623200002 	 0.0204917255603 	 2.67718150806 	 0.00743540547106
Average out-degree 	 0.916329994456 	 0.9256439103740001 	 17.4016834384 	 5.19564450915e-67
Max out-degree 	 3.63381385745 	 3.8046092184400004 	 13.1949272828 	 1.80683301976e-39
Number of communities 	 3.9574920974800003 	 4.03627254509 	 4.97909052091 	 6.4794109403e-07
Average community size 	 4.37207859013 	 4.44120963622 	 4.95311862225 	 7.40670536672e-07
Average path length 	 2.51754865795 	 2.55649937615 	 5.12831298513 	 2.97094816e-07
Density 	 0.0836308467966 	 0.0743445533957 	 -17.3501883602 	 1.24815021046e-66
Diameter 	 5.835245232999999 	 5.96082164329 	 5.08911301846 	 3.65398787176e-07
acl	 0.0014456812807899999 	 0.00173864228266 	 2.42846723759 	 0.015178232141
acl:relcl	 0.00502212867693 	 0.00986978887845 	 20.3500783102 	 2.38880336626e-90
advcl	 0.012045041131899999 	 0.023586512090599997 	 30.7624632955 	 3.11985533315e-199
advmod	 0.074387857487 	 0.0797057324098 	 5.88164917656 	 4.17585345234e-09
amod	 0.14247626305299999 	 0.138255176488 	 -4.32739093768 	 1.52156055885e-05
appos	 0.007148942792890001 	 0.0049937428953 	 -9.49121711186 	 2.6922627212e-21
aux	 0.0014488577655000002 	 0.00334137863006 	 11.1191258684 	 1.4570424408e-28
aux:pass	 0.0026772597415000003 	 0.0033091299258399998 	 3.92041713771 	 8.89293673091e-05
case	 0.106007390947 	 0.100581651274 	 -7.4803236495 	 7.95309778426e-14
cc	 0.0446802349877 	 0.045631308743900006 	 1.70965053014 	 0.0873576000899
ccomp	 0.000419372897214 	 0.0007844703833139999 	 4.31739167896 	 1.59313755744e-05
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.00107444227132 	 0.00043640883185900003 	 -9.65958617621 	 5.28081892016e-22
conj	 0.057474398288199995 	 0.04479666055869999 	 -20.9439415243 	 9.96520515377e-96
cop	 0.00582466931696 	 0.00837884128 	 9.1933389176 	 4.4856221639e-20
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.0035741011402899998 	 0.0060684146013999995 	 11.3009102402 	 1.90581933057e-29
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00045075339096300006 	 0.000510221841617 	 0.927452018347 	 0.353712211777
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 3.07641495808e-06 	 0.0 	 nan 	 nan
fixed	 0.0082464861673 	 0.011209019663 	 8.75302917197 	 2.38292900574e-18
flat	 2.9000668301400003e-06 	 1.54258621192e-05 	 1.29954893827 	 0.193784934918
flat:foreign	 0.00580783694064 	 0.005375525525229999 	 -0.919907600861 	 0.357640532919
flat:name	 0.007370769948819999 	 0.0029809033121500003 	 -21.2211916427 	 1.16167541851e-98
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.000393748606529 	 0.000402173964938 	 0.104268795885 	 0.91695794248
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.00974337318792 	 0.0203012492695 	 29.9944583454 	 7.54972877192e-190
nmod	 0.142385011599 	 0.12487173473799999 	 -16.7434658835 	 3.31436331966e-62
nsubj	 0.07576175779319999 	 0.09833936441600001 	 33.5813476606 	 7.16904245031e-236
nsubj:pass	 0.00781899412858 	 0.00527130850484 	 -11.1896077326 	 6.37153192246e-29
nummod	 0.027359413591 	 0.013872898903700002 	 -31.0223649807 	 7.31525733156e-205
nummod:entity	 3.85313139932e-05 	 1.27238604193e-05 	 -2.4749859357 	 0.0133336261118
nummod:gov	 0.00450370685934 	 0.0045925363076999995 	 0.43404460536 	 0.664264151971
obj	 0.031141612664099996 	 0.04449780753330001 	 22.6308274205 	 7.14291640233e-111
obl	 0.0768696227658 	 0.0787072207877 	 2.71523104751 	 0.00663284117486
obl:agent	 0.00182179086251 	 0.00138504396658 	 -4.47473721573 	 7.7203971741e-06
orphan	 0.00118076182058 	 0.000353365354118 	 -8.73163178053 	 2.7790938755e-18
parataxis	 0.0274875197617 	 0.0187461714262 	 -21.3214174824 	 4.33948795077e-99
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0981033108372 	 0.0842163208153 	 -18.2543252523 	 1.72421894479e-73
vocative	 0.0 	 0.0 	 nan 	 nan
xcomp	 0.007802379500619999 	 0.012861124673600002 	 15.7850115731 	 1.62270401568e-55
