Feature	rnc_media_stats.tsv	prof_stats.tsv	t-value	p-value
Non-projective sentences 	 0.051544814928099994 	 0.0737801090482 	 9.91618927058 	 4.10997770734e-23
Non-projective arcs 	 0.017543474623200002 	 0.023738406735400005 	 6.15266913372 	 7.79611124548e-10
Average out-degree 	 0.916329994456 	 0.93067501052 	 33.4897885978 	 3.0362437638e-239
Max out-degree 	 3.63381385745 	 3.96473186555 	 30.4350279938 	 2.0194130991e-198
Number of communities 	 3.9574920974800003 	 4.23141693699 	 19.7483024369 	 6.83123699589e-86
Average community size 	 4.37207859013 	 4.5330741870699995 	 13.4121198283 	 8.12766225462e-41
Average path length 	 2.51754865795 	 2.5841633544900002 	 10.6266434389 	 2.68176503583e-26
Density 	 0.0836308467966 	 0.0693215385857 	 -33.4097012004 	 3.86383897337e-238
Diameter 	 5.835245232999999 	 6.09752225826 	 12.7437485193 	 4.89055588257e-37
acl	 0.0014456812807899999 	 0.0019948996444 	 5.51347312595 	 3.56787527158e-08
acl:relcl	 0.00502212867693 	 0.00871921829022 	 20.7995339299 	 7.41447610172e-95
advcl	 0.012045041131899999 	 0.022779815885000002 	 35.785814659 	 4.82649564065e-270
advmod	 0.074387857487 	 0.08319723208169999 	 11.7150814009 	 1.39667375568e-31
amod	 0.14247626305299999 	 0.13631982677100002 	 -7.70973041974 	 1.32603470931e-14
appos	 0.007148942792890001 	 0.00617742897025 	 -4.7236034364 	 2.33342762647e-06
aux	 0.0014488577655000002 	 0.0029089900421500003 	 10.8955228761 	 1.51380044003e-27
aux:pass	 0.0026772597415000003 	 0.00215411413502 	 -4.8752346333 	 1.09586722123e-06
case	 0.106007390947 	 0.106435171125 	 0.703368924252 	 0.481835069861
cc	 0.0446802349877 	 0.04629912252619999 	 3.5244314357 	 0.000425458570384
ccomp	 0.000419372897214 	 0.000781942731864 	 5.534237666 	 3.17454303888e-08
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.00107444227132 	 0.000297133002295 	 -17.8074592305 	 1.41787889474e-70
conj	 0.057474398288199995 	 0.045805676225300004 	 -23.3839663075 	 2.57969659791e-119
cop	 0.00582466931696 	 0.00805308538953 	 9.50464031409 	 2.27051635429e-21
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.0035741011402899998 	 0.004787986414630001 	 7.89011733305 	 3.20366057433e-15
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00045075339096300006 	 0.00046773923532199995 	 0.354874040761 	 0.722688268866
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 3.07641495808e-06 	 7.356556510930001e-06 	 0.694188319468 	 0.487573910411
fixed	 0.0082464861673 	 0.0100427227362 	 6.96377384141 	 3.43452827e-12
flat	 2.9000668301400003e-06 	 1.12277514581e-05 	 1.17252115555 	 0.241006344359
flat:foreign	 0.00580783694064 	 0.0102681005436 	 12.0915412653 	 1.57869024094e-33
flat:name	 0.007370769948819999 	 0.0039628223995800006 	 -19.6335880763 	 2.54545692651e-85
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.000393748606529 	 0.00022413454087800001 	 -4.58035701262 	 4.66520677449e-06
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.00974337318792 	 0.0198552692797 	 35.8339364671 	 1.22554396705e-270
nmod	 0.142385011599 	 0.11728309384400001 	 -30.5793716776 	 1.61118185346e-200
nsubj	 0.07576175779319999 	 0.10156484772800001 	 46.6001766857 	 0.0
nsubj:pass	 0.00781899412858 	 0.00369568328232 	 -25.0771826379 	 9.10989762698e-137
nummod	 0.027359413591 	 0.012264003338899999 	 -43.8734970268 	 0.0
nummod:entity	 3.85313139932e-05 	 1.27102403577e-05 	 -3.01996741236 	 0.00252985925512
nummod:gov	 0.00450370685934 	 0.00470956350516 	 1.23357503457 	 0.21737728869
obj	 0.031141612664099996 	 0.0416500354835 	 23.0580428597 	 7.09578947945e-116
obl	 0.0768696227658 	 0.08493392954420001 	 14.1428507944 	 3.63829737742e-45
obl:agent	 0.00182179086251 	 0.0012762501598599998 	 -6.88539914261 	 5.93769865911e-12
orphan	 0.00118076182058 	 0.000286042752207 	 -13.6876141026 	 1.54920216475e-42
parataxis	 0.0274875197617 	 0.0200466467798 	 -21.2504376583 	 4.33372542582e-99
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.0981033108372 	 0.0778407685216 	 -33.4348670035 	 8.68269261114e-239
vocative	 0.0 	 0.0 	 nan 	 nan
xcomp	 0.007802379500619999 	 0.012885408541899998 	 19.1880275972 	 3.56439250454e-81
