Feature	syntagrus_stats.tsv	learner_stats.tsv	t-value	p-value
Non-projective sentences 	 0.09250846617660001 	 0.0640280561122 	 -10.2381495559 	 1.5872768628e-24
Non-projective arcs 	 0.0377713255415 	 0.0204917255603 	 -13.415108328 	 7.42483097623e-41
Average out-degree 	 0.908483060564 	 0.9256439103740001 	 29.0417594271 	 3.54933195392e-181
Max out-degree 	 3.6969315272199994 	 3.8046092184400004 	 7.72184972876 	 1.21675889478e-14
Number of communities 	 3.61604856694 	 4.03627254509 	 25.1382226927 	 1.59190065393e-136
Average community size 	 4.2556560652 	 4.44120963622 	 12.4976754187 	 1.16821919029e-35
Average path length 	 2.31604179729 	 2.55649937615 	 30.7552654346 	 1.64030013259e-200
Density 	 0.09150952316439999 	 0.0743445533957 	 -29.047204863 	 3.05245694621e-181
Diameter 	 5.17987527876 	 5.96082164329 	 30.6746570919 	 1.39998389617e-199
acl	 0.00227337002475 	 0.00173864228266 	 -3.9633911357 	 7.4188391314e-05
acl:relcl	 0.006012104599489999 	 0.00986978887845 	 15.4388137861 	 2.69904861754e-53
advcl	 0.0159759019442 	 0.023586512090599997 	 19.1506659014 	 1.12944832928e-80
advmod	 0.0927325831853 	 0.0797057324098 	 -13.1467738265 	 2.82144361514e-39
amod	 0.125455372411 	 0.138255176488 	 12.2012779365 	 4.41018377774e-34
appos	 0.009091597915389998 	 0.0049937428953 	 -15.0895201676 	 3.27120414485e-51
aux	 0.0025386096812 	 0.00334137863006 	 4.3970126193 	 1.10564824803e-05
aux:pass	 0.00268797377262 	 0.0033091299258399998 	 3.61493191326 	 0.000301468156109
case	 0.103558533828 	 0.100581651274 	 -3.78380866216 	 0.000155019878703
cc	 0.047271646505899996 	 0.045631308743900006 	 -2.68072669965 	 0.00735356027944
ccomp	 0.00101112433129 	 0.0007844703833139999 	 -2.40413087617 	 0.0162221487351
clf	 0.0 	 0.0 	 nan 	 nan
compound	 0.0008812075615760002 	 0.00043640883185900003 	 -6.02055544883 	 1.76828890174e-09
conj	 0.0469103283711 	 0.04479666055869999 	 -3.23713204342 	 0.00120978118017
cop	 0.009559662381559999 	 0.00837884128 	 -3.78778424635 	 0.000152513129462
csubj	 0.0 	 0.0 	 nan 	 nan
dep	 0.00414451003359 	 0.0060684146013999995 	 8.25135532057 	 1.71280388741e-16
det	 0.0 	 0.0 	 nan 	 nan
discourse	 0.00048447531245 	 0.000510221841617 	 0.376341544775 	 0.706668633565
dislocated	 0.0 	 0.0 	 nan 	 nan
expl	 5.001294660600001e-05 	 0.0 	 nan 	 nan
fixed	 0.009177038731270001 	 0.011209019663 	 5.62520650116 	 1.88822019989e-08
flat	 0.00010873990450799998 	 1.54258621192e-05 	 -4.98333383475 	 6.26866901813e-07
flat:foreign	 0.00205670065654 	 0.005375525525229999 	 7.1493523964 	 9.28016055184e-13
flat:name	 0.00493517484364 	 0.0029809033121500003 	 -9.35259366433 	 9.56823267229e-21
goeswith	 0.0 	 0.0 	 nan 	 nan
iobj	 0.00209917167319 	 0.000402173964938 	 -15.4638763419 	 9.56548575654e-54
list	 0.0 	 0.0 	 nan 	 nan
mark	 0.012922372564299999 	 0.0203012492695 	 19.8893240802 	 9.51368909977e-87
nmod	 0.109055552337 	 0.12487173473799999 	 14.2477164181 	 9.30909615975e-46
nsubj	 0.10172689892799999 	 0.09833936441600001 	 -4.58880256707 	 4.49112378185e-06
nsubj:pass	 0.0062803651878699995 	 0.00527130850484 	 -4.05716648008 	 4.98963742882e-05
nummod	 0.011209622628699999 	 0.013872898903700002 	 6.27530640903 	 3.59523767553e-10
nummod:entity	 5.83544170196e-05 	 1.27238604193e-05 	 -3.41401026673 	 0.000640833045873
nummod:gov	 0.00528835971197 	 0.0045925363076999995 	 -3.0762578887 	 0.0020995123052
obj	 0.0381337110933 	 0.04449780753330001 	 10.0475868286 	 1.12568385834e-23
obl	 0.07973578005760001 	 0.0787072207877 	 -1.4019746377 	 0.160942632651
obl:agent	 0.0018836510556199998 	 0.00138504396658 	 -4.59804984805 	 4.29371322073e-06
orphan	 0.00246889918072 	 0.000353365354118 	 -15.2825854023 	 1.36460518438e-52
parataxis	 0.0245460687457 	 0.0187461714262 	 -12.8425232336 	 1.39270167973e-37
reparandum	 0.0 	 0.0 	 nan 	 nan
root	 0.10779984355000001 	 0.0842163208153 	 -27.793161164 	 1.24334507956e-166
vocative	 3.16476636083e-05 	 0.0 	 nan 	 nan
xcomp	 0.009843032264 	 0.012861124673600002 	 8.79411056883 	 1.60544049915e-18
